Date,Site,Flight origin,Destination,Fatalities,Injuries,Survivors
"May6,1935(1935-05-06)",39.93; -92.59,34.050; -118.250,40.72; -74.17,5,8,8
7-Oct-35,"Laramie County, near Silver Crown, Wyoming, USA",40.750; -111.883,41.14556; -104.80194,12,,0
10-Dec-35,51.3020; 0.0305,50.90139; 4.48444,51.3727; -0.1099,11,,
"January14,1936(1936-01-14)",34.93806; -91.02083,35.04250; -89.97667,34.73611; -92.33111,17,,0
7-Apr-36,39.7997500; -79.6990500,40.72; -74.17,34.050; -118.250,12,,2
16-Jun-36,61.1569; 5.1639,60.38944; 5.33000,69.68278; 18.94278,7,,0
5August1936(1936-08-05),38.8076222; -90.3709444,38.74722; -90.36139,41.78611; -87.75250,8,0,0
9-Dec-36,51.34583; -0.12250,51.3752; -0.0923,52.30806; 4.76417,15,2,2
27December1936(1936-12-27),34.3502769; -118.5453639,37.783; -122.417,34.050; -118.250,12,,0
12-Jan-37,"Los Pinetos Peak, nearSaugus and Newhall, California",40.750; -111.883,34.18028; -118.32833,5,,8
19-Feb-37,-28.309156; 153.117789,-27.57028; 153.00806,-33.94611; 151.17722,5; both pilots and 2 passengers died in crash (one survivor died later while searching for help),2,"3; passengers who survived crash, 1 died later while searching for help"
25-Mar-37,40.33000; -80.06722,39.94; -75.105,40.43972; -79.97639,13,,0
6-May-37,40.030392; -74.325745,50.66611; 8.59111,"NAS Lakehurst, Lakehurst Borough, New Jersey, U.S.","36 (13 passengers, 22 air crewmen, one ground crewman)",Unknown,62
16-Nov-37,51.2009500; 2.8920611,,,12[a],0,0
11-Jan-38,-14.13889; -170.85000,21.300; -157.817,-36.84056; 174.74000,7,,0
1-Mar-38,37.53694; -119.65639,37.783; -122.417,35.02861; -110.70083,9,0,0
28-Jul-38,12.27000; 130.40000,37.783; -122.417,14.5958; 120.9772,15,0,0
25October1938(1938-10-25),-37.833; 145.349,-34.94500; 138.53056,-37.72806; 144.90194,18,0,0
4-Nov-38,40.69250; -74.16861,49.20806; -2.19528,50.9; -1.4,14 (1 on ground),,0
"January13,1939(1939-01-13)",46.42806; -105.88611,44.88194; -93.22167,47.53000; -122.30194,4,,0
21-Jan-39,0; -25,40.82889; -73.68667,32.300; -64.783,3,10,10
"August13,1939(1939-08-13)",-22.8940528; -43.1643139,25.79333; -80.29056,-22.91028; -43.16278,14,,2
14-Jun-40,59.78361; 25.01833,59.41333; 24.83250,60.25389; 25.04417,9,,0
1940/8/31 14:41,39.27333; -77.68472,38.90472; -77.01639,42.33139; -83.04583,25,,0
"November8,1940(1940-11-08)",51.300; 14.050,52.47361; 13.40167,47.43944; 19.26194,29,,0
26-Feb-41,"Morrow, GA, near Atlanta, Georgia, USA",40.777250; -73.872611,25.93028; -97.48444,8,8,8
16-Jan-42,35.9510306; -115.49028,40.7127; -74.0059,34.18028; -118.32833,22,,0
3-Mar-42,-17.11667; 122.25556,"Bandung, Java, Netherlands East Indies","Broome, Western Australia",4,,8
23-Oct-42,33.867; -116.567,33.81778; -118.15167,33.83028; -116.54528,0,0,2
21-Jan-43,39.06667; -123.28333,"Pearl Harbor, Oahu, Hawaii",37.783; -122.417,19,0,0
1-Jun-43,46.11667; -10.25000,38.77417; -9.13417,51.38278; -2.71917,17,,0
28-Jul-43,36.7856167; -86.3712917,41.48222; -81.66972,35.11750; -89.97111,20,,2
15-Oct-43,35.78833; -87.45583,41.48222; -81.66972,35.11750; -89.97111,11,,0
10-Feb-44,47.23972; -95.20750,34.73611; -92.33111,35.04250; -89.97667,24,,0
20-Jun-44,45.5; -69,48.550; -58.567,38.90472; -77.01639,7,0,0
31-Jan-45,-37.0200; 144.5663,-37.81361; 144.96306,-31.95667; 141.46778,10,,0
12-Jul-45,34.2304556; -79.9657444,,,,,1
5-Oct-45,27.98889; -82.01861,25.77528; -80.20889,27.98889; -82.01861,2 passengers,,13
3-Nov-45,21.1632222; -147.9049833,21.36500; -157.95000,35.458606; -119.355165,0,0,37
6-Jan-46,33.55944; -86.74722,40.7127; -74.0059,33.56389; -86.75222,3,5,16
10-Mar-46,-42.86; 147.52,-42.88056; 147.32500,-37.81361; 144.96306,25,,0
11-Jul-46,40.41611; -75.99139,,,5,1,1[1]
"August7,1946(1946-08-07)",60.37639; 11.15750,51.35639; -0.11722,60.20278; 11.08389,3,,12
"October3,1946(1946-10-03)",48.6027444; -58.4638222,40.777250; -73.872611,52.55972; 13.28778,39,,0
"November14,1946(1946-11-14)",52.30806; 4.76417,51.50722; -0.12750,52.30806; 4.76417,26,,0
19December1946(1946-12-19),51.5596556; -0.3974389,"Northolt Airport, London, United Kingdom",55.87194; -4.43306,0,0,5
"December28,1946(1946-12-28)",52.710833; -8.956111,48.72333; 2.37944,40.777250; -73.872611,9,,14
11-Jan-47,51.133; 1.033,51.47750; -0.46139,12; 3,8,8,8
12-Jan-47,36.66472; -80.92028,,,,,1
25-Jan-47,51.353; -0.117,51.35639; -0.11722,-17.82917; 31.05222,12,,2
26-Jan-47,55.61806; 12.656250,52.30806; 4.76417,59.35444; 17.93972,22,0,0
"February15,1947(1947-02-15)","Mount El Tablazo, near Bogotá, Colombia",10.88944; -74.78056,4.71111; -74.07222,53,,0
29-May-47,40.7683; -73.8847,40.777250; -73.872611,41.48222; -81.66972,43,5,5
"May30,1947(1947-05-30)",39.614166; -76.060632,Newark International Airport,25.79333; -80.29056,53,0,0
13-Jun-47,39.1549611; -77.8282333,41.83694; -87.68472,36.917; -76.200,50,0,0
"June19,1947(1947-06-19)",35.01833; 40.45333,24.90667; 67.16083,41.01361; 28.95500,15,,21
2-Aug-47,-33.37083; -69.76111,-34.55889; -58.41639,"Los Cerrillos Airport, Santiago, Chile",11,,0
28-Aug-47,"Lødingsfjellet, Hinnøy, Norway",69.68278; 18.94278,59.91667; 10.73333,35,0,0
24-Oct-47,37.685037; -112.136616,33.94250; -118.40806,41.78611; -87.75250,52,,0
"October26,1947(1947-10-26)","Annette Island, Alaska, United States",47.60972; -122.33306,58.3014485; -134.4216125,18,0,0
27-Dec-47,Korangi Creek.  Pakistan,24.90667; 67.16083,19.08861; 72.86806,23,,0
28-Jan-48,36.2366; -120.5849,37.80444; -122.27083,32.800; -115.567,32,,0
30-Jan-48,0; -25,38.7252668; -9.1500193,32.300; -64.783,31,0,0
12-Mar-48,"Mount Sanford, Alaska Territory",31.22861; 121.47472,40.7127; -74.0059,30,,0
5-Apr-48,52.474; 13.138,51.500; -0.117,52.47444; 13.13806,,,0
15-Apr-48,52.7160722; -8.898694,37.783; -122.417,40.7127; -74.0059,30,1,1
21-Apr-48,55.802825; -4.784546,51.55306; -0.41833,Glasgow-Renfrew Airport,0,13,20
17-Jun-48,"Conyngham Township, Columbia County, near Aristes, Pennsylvania",32.73361; -117.18972,40.777250; -73.872611,43,0,0
4-Jul-48,51.60; -0.453,35.85750; 14.47750,51.55306; -0.41833,7,0,0
16 July 1948[1],22.182; 113.744,22.167; 113.550,22.3; 114.2,25,1,1 (lead hijacker)
1-Aug-48,0; -25,14.6; -61.0833,"Port-Etienne, French West Africa",52,,0
29-Aug-48,"Fountain City, Wisconsin, 4.1mi (6.6km) NW of Winona, Minnesota",41.83694; -87.68472,44.88194; -93.22167,37,,0
2-Sep-48,-31.511; 150.933,-27.467; 153.033,-33.86500; 151.20944,13,,0
2-Oct-48,63.37278; 10.75083,59.883; 10.617,Trondheim-Hommelvika,19[1],undetermined,26[1]
20-Oct-48,55.5084; -4.5044,52.30806; 4.76417,40.7127; -74.0059,40,,0
28-Dec-48,30.3935337; -86.4957833,18.40639; -66.06389,25.79333; -80.29056,32 (missing),0,0
17-Jan-49,0; -25,32.300; -64.783,17.97139; -76.79306,20,0,0
19-Feb-49,52.468; -1.511,54.50917; -1.42944,54.50917; -1.42944,4,0,0
10-Mar-49,-28.1638; 153.5113,,,21,,0
4-May-49,45.081139; 7.768972,38.7252668; -9.1500193,45.07917; 7.67611,31,,0
7-Jun-49,18.40639; -66.06389,18.40639; -66.06389,25.77528; -80.20889,53,0,28
2-Jul-49,-31.9216; 115.9710,-31.95222; 115.85889,"Carnarvon, Western Australia",18,,0
"July12,1949(1949-07-12)",34.25722; -118.60111,35.039333; -106.610778,34.20056; -118.35861,35,,13
19-Aug-49,53.54333; -1.95583,54.65750; -6.21583,53.35389; -2.27500,24,8,8
9-Sep-49,"over Cap Tourmentenear Sault-au-CochonQuebec, Canada",45.50889; -73.56167,49.217; -68.150,23 (all),,
28-Oct-49,37.766667; -25.466667,48.72333; 2.37944,40.7127; -74.0059,48,,0
1-Nov-49,38.8350; -77.0450,40.777250; -73.872611,38.85222; -77.03778,0,1,1
20-Nov-49,59.60306; 10.51806,,,34,1,1
29-Nov-49,32.84806; -96.85111,40.777250; -73.872611,19.43611; -99.07194,28,16,18
5-Jan-50,56.74139; 60.80361,55.59611; 37.26750,55.15472; 61.37583,19,0,0
7-Mar-50,44.909081000; -93.294224833,,,15 (2 on the ground),,0
12-Mar-50,51.43445; -3.47739,53.42139; -6.27000,51.43445; -3.47739,80,3,3
14-Jun-50,26.217; 50.583,10.800; 106.650,48.8567; 2.3508,40,,13
"June23,1950(1950-06-23)",42.367; -86.617,40.777250; -73.872611,47.60972; -122.33306,58 (all presumed; only body fragments found),,
26-Jun-50,-31.821; 116.581,-31.94028; 115.96694,-34.94500; 138.53056,29,1 (died 6 days later),
"August31,1950(1950-08-31)",30.583; 30.333,19.08861; 72.86806,40.63972; -73.77889,55,,0
31-Oct-50,51.47750; -0.46139,48.96944; 2.44139,"Northolt AirportLondon, England",28,2,2
3-Nov-50,45.83278; 6.86500,18.97500; 72.82583,51.50722; -0.12750,48,,0
24-Jan-66,45.83361; 6.86500,"Sahar International Airport, Bombay, India",51.47750; -0.46139,117,,0
13-Nov-50,44.77528; 5.83944,41.79944; 12.59722,48.72333; 2.37944,58,0,0
14January1951(1951-01-14),39.8722694; -75.2374694,Newark International Airport (EWR/KEWR),39.87194; -75.24111,7,11,21
27-Mar-51,53.363; -2.262,53.357; -2.272,54.63111; -6.15389,2,1,1
25-Apr-51,24.55972; -81.78361,,,,,0
22-Jun-51,6.97889; -9.98333,-26.20444; 28.04556,40.7127; -74.0059,40,0,0
30-Jun-51,"Crystal Mountainwest of Fort Collins,Larimer County, ColoradoUnited States",,,50[1],,0
21-Jul-51,51.98778; -176.59167,49.19472; -123.18389,"Haneda Army Air Base, Tokyo, Japan",37,0,0
24-Aug-51,37.59639; -122.04833,42.35806; -71.06361,37.783; -122.417,50,,0
15-Nov-51,51.58028; 19.50667,51.72194; 19.39806,50.07778; 19.78472,18,0,0
16-Dec-51,40.666261; -74.19353,40.69250; -74.16861,27.97556; -82.53333,58,,0
22December1951(1951-12-22),35.68917; 51.38889,33.26250; 44.23444,35.41611; 51.15222,20,,0
29-Dec-51,"Bucktooth Ridge, nearNapoli, New York",25.77528; -80.20889,42.90472; -78.84944,26,14,14
22-Jan-52,40.6579; -74.2144,45.15917; -93.84333,Newark International Airport,30 (including 7 on the ground),,0
11February1952(1952-02-11),40.679369; -74.218083,40.69250; -74.16861,25.77528; -80.20889,33 (4 on the ground),,34
3-Mar-52,43.66667; 7.20778,"Tunis-El Aouina Airport (TUN/DTTA), Tunisia",48.96944; 2.44139,38,,0
11-Apr-52,18.5350; -66.2514,18.40611; -65.96722,40.63972; -73.77889,52,unknown,17
"April29,1952(1952-04-29)",-9.7519750; -50.7842028,-34.60333; -58.38167,40.63972; -73.77889,50,,0
28-Jun-52,32.84806; -96.85111,33.21639; -97.12917,32.84722; -96.85167,,,0
12-Aug-52,-16.79333; -49.88528,-17.83472; -50.95611,-16.62972; -49.22667,24,,0
6-Dec-52,32.300; -64.783,32.36417; -64.67861,22.98917; -82.40917,37,4,4
5-Jan-53,54.63111; -6.15389,51.55306; -0.41833,54.63111; -6.15389,27,,8
2-Feb-53,0; -25,51.88500; 0.23500,17.97139; -76.79306,39,,0
14February1953(1953-02-14),30.69444; -88.04306,25.79333; -80.29056,29.99333; -90.25806,46,0,0
2May1953(1953-05-02),22.788577; 88.082081,1.283; 103.833,51.50722; -0.12750,43,,0
12-Jul-53,19.800; 171.800,13.500; 144.800,37.80444; -122.27083,58,0,0
"August3,1953(1953-08-03)",36.6; 29.0,48.72333; 2.37944,Tehran-Mehrabad Airport (THR/OIII),4,,38
1-Sep-53,44.2908583; 6.6989000,48.72333; 2.37944,10.81889; 106.65194,42,0,0
16-Sep-53,42.74500; -73.86383,42.36306; -71.00639,41.78611; -87.75250,28,,0
29-Oct-53,37.405701; -122.325119,-33.86500; 151.20944,49.250; -123.100,19,0,0
10January1954(1954-01-10TSunday),31.41722; -86.07722,1.3074111; 103.8733778,51.47750; -0.46139,35,,0
13-Mar-54,1.3074111; 103.8733778,-33.86500; 151.20944,51.50722; -0.12750,33,,7
8-Apr-54,39.917; 14.500,51.47750; -0.46139,-26.13333; 28.25000,21,,0
19-Jun-54,51.05694; 1.20694,46.23833; 6.10944,51.47750; -0.46139,3,6,6
23-Jul-54,"South China Sea, off the coast of Hainan Island, People's Republic of China. 18°N 110°E",13.75250; 100.49417,22.3; 114.2,10[2][3],0[2],9
23-Aug-54,52.45861; 4.61944,40.7127; -74.0059,52.30806; 4.76417,21,,0
5-Sep-54,52.713731; -8.868628,52.367; 4.900,40.7127; -74.0059,28,0,28
25-Dec-54,55.50194; -4.57333,51.47750; -0.46139,55.50944; -4.59444,28,,8
12-Jan-55,38.97; -84.73,42.31222; -85.20417,38.02972; -84.49472,,,0
19-Feb-55,"Sandia Mountains, Bernalillo County, New Mexico, USA","Albuquerque International Airport, NM (ABQ/KABQ)","Santa Fe Municipal Airport, NM (SAF/KSAF)",16[1],0,0
"March26,1955(1955-03-26)",43.80417; -125.21111,47.44889; -122.30944,-33.86500; 151.20944,4,0,19
"April 4, 1955[1]",40.79528; -73.10028,40.79528; -73.10028,40.777250; -73.872611,3[4],,0
11-Apr-55,"off the Natuna Islands, Indonesia","Santa Cruz Airport, Bombay, India",-6.14722; 106.85000,16,3,3
"July27,1955(1955-07-27)",41.400; 23.217,51.47750; -0.46139,32.00944; 34.88278,58,,0
6-Oct-55,41.34504; -106.32906,40.7127; -74.0059,37.783; -122.417,66,,0
1-Nov-55,40.2001417; -104.9561000,40.777250; -73.872611,47.44889; -122.30944,44[1],,0
18-Feb-56,35.900; 14.517,35.85750; 14.47750,51.88500; 0.23500,50,,0
1-Apr-56,40.517; -80.233,40.496; -80.246,"Newark International Airport, NJ (EWR/KEWR)",22 (passengers:21  crew:1),,14
"April2,1956(1956-04-02)",47.6; -122.4,47.44889; -122.30944,40.7127; -74.0059,5,2,33
"June20,1956(1956-06-20)",39.377297; -74.451082,New York-Idlewild International Airport (IDL/KIDL),Caracas Airport (CCS/SVMI),74,,0
24-Jun-56,12.046891; 8.51809,12.000; 8.517,32.66944; 13.15667,32,,13
30-Jun-56,36.17500; -111.83333,33.94250; -118.40806,39.12306; -94.59278,70 (all),,0
9-Jul-56,42.10194; -83.27278,41.83694; -87.68472,43.74167; -79.37333,1,5,34
16-Oct-56,30.0250; -140.150,,,0,,31
7-Nov-56,62.404; 11.281,63.45750; 10.92417,59.883; 10.617,2,,10
"November27,1956(1956-11-27)","18 km (11.3 mls) ESE of Caracas Airport, Venezuela",New York-Idlewild International Airport (IDL/KIDL),Caracas Airport (CCS/SVMI),25,,0
9-Dec-56,"Mount Slesse, near Chilliwack, British Columbia, Canada",,,62,0,0
1-Feb-57,"Queens, New York City, New York, United States",40.777250; -73.872611,25.79333; -80.29056,20,78,81
14-Mar-57,53.392; -2.264,52.30806; 4.76417,53.35389; -2.27500,22 (2 on ground),,0
1-May-57,51.319; -0.870,51.32389; -0.84750,32.66944; 13.15667,34,1,1
16 July 1957(1957-07-16),-5.500; 141.000,Biak-Mokmer Airport (BIK/WABB),14.50833; 121.01972,58,,10
11-Aug-57,"Near Issoudun, Quebec, Canada",51.47750; -0.46139,43.67667; -79.63056,79,,0
"November8,1957(1957-11-08)",29.433; -143.567,,,44,,0
15-Nov-57,50.6681; -1.4435,,,45,,13
6-Feb-58,48.12611; 11.67778,44.81944; 20.30694,53.35389; -2.27500,23,19,21
27-Feb-58,53.629; -2.513,54.08333; -4.62333,53.35389; -2.27500,35,7,7
6-Apr-58,43.5205694; -84.0985861,42.96556; -83.74361,43.53278; -84.07972,47,,0
21-Apr-58,35.9998; -115.2056,36.24917; -114.99611,36.24917; -114.99611,2 (all),,0
25-May-58,28.456; 77.029,24.86000; 67.01000,28.61389; 77.20889,4,0,1
9-Aug-58,32.09722; 20.26944,-17.931806; 31.0928472,51.47750; -0.46139,36,Unknown,18
14-Aug-58,53.417; -8.000,52.367; 4.900,40.7127; -74.0059,99,,0
"August15,1958(1958-08-15)",49.800; 132.950,48.52806; 135.18833,55.59611; 37.26750,64,,0
"August15,1958(1958-08-15)",41.28278; -70.09944,40.777250; -73.872611,41.252889; -70.059000,25,9,9
2-Sep-58,51.5196; -0.3718,51.47750; -0.46139,32.067; 34.783,7 (4 on ground),0,0
17-Oct-58,58.47528; 47.12278,"Beijing International Airport, People's Republic of China",55.59611; 37.26750,80,,0
22-Oct-58,41.4479472; 12.6290528,51.47750; -0.46139,40.88444; 14.29083,,,1
4-Dec-58,40.8128; -3.9494,42.22917; -8.62750,40.47222; -3.56083,21,,0
24-Dec-58,50.767; -1.768,51.50722; -0.12750,Hurn Airfield (Now Bournemouth International),9,3,3
8-Jan-59,"Holston Mountain, Sullivan County, Tennessee, United States",35.81111; -83.99389,"Tri-Cities Regional Airport, Bristol, Tennessee, United States",10,0,0
11-Jan-59,-22.81000; -43.25056,14.69278; -17.44667,-22.81000; -43.25056,36,3,3
16January1959(1959-01-16),,-34.55889; -58.41639,-38.00000; -57.55000,51,,1
3-Feb-59,40.7127; -74.0059,,,65,8,8
"February 3rd, 1959",52.5; -40.5,48.8567; 2.3508,40.63972; -73.77889,0,,129 (all)
17-Feb-59,51.14028; -0.27417,40.12806; 32.99500,51.14806; -0.19028,14,9,10
23-Apr-59,38.92; 42.82,51.500; -0.117,-31.20000; 136.81667,12,,0
12-May-59,39.3417; -76.3833,,,31,,0
26-Jun-59,"Near the hamlet of Marnate,[1] Italy","Malpensa Airport (MXP) (MXP/LIMC), Italy",48.72333; 2.37944,68,,0
15-Aug-59,40.9452306; -72.7793250,40.63972; -73.77889,,5,,0
19-Aug-59,41.817; 1.467,41.29694; 2.07833,51.14806; -0.19028,32,0,0
24-Sep-59,44.82833; -0.71556,44.82833; -0.71556,5.317; -4.033,54,11,11
29-Sep-59,"Leon County, near Buffalo, Texas",29.76278; -95.38306,40.777250; -73.872611,34,0,0
30-Oct-59,38.10417; -78.73139,38.90472; -77.01639,38.13861; -78.45278,26,1,1
16-Nov-59,28.57; -86.33,,,42,0,0
"November 21, 1959[1]",33.88694; 35.51306,33.82111; 35.48833,34.56583; 69.21306,24[1],1[1],1 (initially 3)
1-Dec-59,41.2255806; -76.9106806,39.87194; -75.24111,41.41167; -81.84972,25,,1
6-Jan-60,33.92444; -78.02056,40.63972; -73.77889,25.77528; -80.20889,34,,0
18-Jan-60,37.38333; -76.95389,,,50,,0
19-Jan-60,40.12806; 32.99500,55.67611; 12.56833,30.033; 31.233,42,0,0
21-Jan-60,18.5028; -77.9122,40.63972; -73.77889,4.70139; -74.14694,"37 (2 crew, 35 passengers)",,"9 (5 crew, 4 passengers)"
25-Feb-60,-22.79028; -43.15556,-21.75389; -41.32389,-22.91028; -43.16278,,,0
17-Mar-60,37.9110056; -86.6330083,41.78611; -87.75250,25.79333; -80.29056,63,,0
10-Jun-60,-21.14111; 149.18611,-27.38333; 153.11833,-21.14111; 149.18611,29,,0
15-Jul-60,"Near Jimma, Ethiopia",6.28333; 36.81111,7.66583; 36.81639,1,10,10
26-Sep-60,55.750; 37.617,48.11083; 16.57083,55.97278; 37.41472,31,,6
4-Oct-60,42.36583; -70.98833,,,62,10,10
29-Oct-60,41.5885; -83.8118,,,22,,26
16December1960(1960-12-16),40.56861; -74.12194,39.90222; -84.21944,40.777250; -73.872611,44 (all),0 (1 initially),0
3-Jan-61,"Kvevlax, Finland",63.72028; 23.13917,63.04528; 21.76417,25,,0
28-Jan-61,41.06167; -72.03889,"New York International Airport, New York","New York International Airport, New York",6,,0
15-Feb-61,50.934; 4.536,40.63972; -73.77889,50.90139; 4.48444,72,,0
"March28,1961(1961-03-28)",49.617; 11.250,50.10083; 14.26000,12.63917; -8.00278,52,,0
3April1961(1961-04-03),-35.986000; -71.126000,-38.733; -72.667,-33.450; -70.667,24,0,0
10-May-61,23; 13,-1.44; 15.556,48.8567; 2.3508,78,,0
30May1961(1961-05-30),38.7252668; -9.1500193,41.80028; 12.23889,10.60306; -66.99056,61,0,0
12-Jun-61,30.12194; 31.40556,52.30806; 4.76417,3.14778; 101.69528,20,16,16
11-Jul-61,39.761850; -104.881105,41.3012; -95.8954,39.760722; -104.891972,18 (1 on the ground),84,105
19-Jul-61,-36.23278; -59.51556,-34.82222; -58.53583,-45.86472; -67.48083,67 (all),,
"July21,1961(1961-07-21)","Shemya, Aleutian Islands, Alaska",47.90611; -122.28139,35.71083; 139.40306,6,,0
9-Aug-61,59.08528; 6.06139,51.47750; -0.46139,58.87667; 5.63778,39,,0
1-Sep-61,41.7796361; -87.9581361,42.35806; -71.06361,33.94250; -118.40806,78,0,0
"September10,1961(1961-09-10)",54.235; -7.92,51.28944; 6.76667,41.97861; -87.90472,83,,0
12-Sep-61,34.033; -6.833,48.72333; 2.37944,Casablanca (CMN),77,,0
17-Sep-61,41.9606; -87.9190,,,37,0,0
18-Sep-61,-12.97528; 28.52278,-11.5913333; 27.5309778,-12.97528; 28.52278,16 (15 initially),0 (1 initially),0 (1 initially)
23-Sep-61,"Karanlıktepe, Ankara Province, Turkey",,40.12806; 32.99500,28,,1
7-Oct-61,42.51889; 2.45667,,,34,0,0
8-Nov-61,37.4776556; -77.3005444,,,77,2[1],2
23-Nov-61,-23.0245556; -47.1067083,-34.82222; -58.53583,40.63972; -73.77889,52,0,0
30-Nov-61,-33.9807; 151.1998,-33.86500; 151.20944,-35.29306; 149.12694,15,,0
25-Feb-62,10.98694; -63.93556,10.98694; -63.93556,10.45000; -64.13056,23,0,0
1-Mar-62,40.61778; -73.83694,43.97556; -75.90639,34.08333; -118.44778,95,,0
4-Mar-62,4.00583; 9.71944,49.81444; 6.13167,49.81444; 6.13167,111,,0
8-Mar-62,37.2480; 34.3643,40.12806; 32.99500,36.98194; 35.28028,11,,
16-Mar-62,13.667; 140.000,38.26278; -121.92750,10.81889; 106.65194,"107 (all, assumed)",,0 (assumed)
6-May-62,50.6027; -1.1977,49.20806; -2.19528,50.817; -1.083,12,,5
12-May-62,Goodthab harbour,67.01694; -50.68944,64.17500; -51.73889,15,,6
22-May-62,40.5470639; -93.0578472,41.97861; -87.90472,39.12306; -94.59278,45 (44 initially),,0 (1 initially)
3-Jun-62,48.72333; 2.37944,48.72333; 2.37944,33.88639; -89.02306,130,2,2
22-Jun-62,16.311; -61.768,48.8567; 2.3508,-33.450; -70.667,113,0,0
30-Jun-62,56.0355; 93.1371,48.52806; 135.18833,55.59611; 37.26750,84,0,
"July 7, 1962, 18:40 UTC(July 8, 1962, 00:10 local)","11 km NW of Junnar, Maharashtra, India",-33.94611; 151.17722,41.80028; 12.23889,94,,0
19-Jul-62,14.44139; 101.36972,22.30889; 113.91444,Cairo (CAI),26,,0
22-Jul-62,21.467; -157.967,21.467; -157.967,-17.75528; 177.44333,27,,13
28-Jul-62,51.02194; 71.46694,Snilow Airport,43.45000; 39.95667,81,,0
3September1962(1962-09-03),"near Kuruna, Nanaysky District",55.59611; 37.26750,53.1677000; 158.4536000,86,,0
23-Nov-62,39.26806; -76.79889,,,17,,0
27-Nov-62,-12.122329000; -76.940162833,-22.81000; -43.25056,"Los Angeles International Airport, Los Angeles",97,,0
30-Nov-62,"Idlewild AirportNew York City, United States",35.21389; -80.94306,"Idlewild AirportNew York City, New York",25,,"26 (2 crew, 24 passengers)"
19-Dec-62,52.16583; 20.96722,50.90139; 4.48444,Warszawa-Okecie Airport (WAW/EPWA),33,0,0
1February1963(1963-02-01),39.933; 32.867,39.9498306; 32.6886222,39.9498306; 32.6886222,3 (all),,
12-Feb-63,25.5648194; -80.8834083,25.79333; -80.29056,47.62000; -117.53389,43,0,0
4-Apr-63,55.47000; 50.39722,55.97278; 37.41472,56.17167; 92.49333,67,,0
3-Jun-63,54.2138; -133.857,"McChord Air Force Base, Washington, United States",61.25139; -149.80639,101,,0
2-Jul-63,43.12333; -77.67556,,,7,36,36
3-Jul-63,"near Mount Ngatamahinerua,Kaimai Ranges, New Zealand",-36.7898; 174.6303,-37.67333; 176.19722,23,,0
28-Jul-63,18.97500; 72.82583,35.55333; 139.78111,30.12194; 31.40556,63,0,0
21August1963(1963-08-21),59.91972; 30.40361,59.41333; 24.83250,55.59611; 37.26750,0,,52
4-Sep-63,47.317; 8.150,47.46472; 8.54917,41.80028; 12.23889,80,,0
8-Nov-63,60.150; 19.950,60.31722; 24.96333,60.12194; 19.89639,22,,3
29-Nov-63,45.6813; -73.8984,45.47056; -73.74083,43.67667; -79.63056,118,0,0
8-Dec-63,39.613278; -75.791583,Luis Muñoz Marín Int'l Airport,39.87194; -75.24111,81,,0
